nome,anno,codice_stato_cup,costo_lavori_previsto,cup,fonte_finanziamento,lat,lon,tipo,nome_completo
"PER LAMBITO RURALE, IL CRITERI DI SELEZIONE SONO ESSENZIALMENTE IL POTENZIALE BACINO DUTENZA E LA PRESENZA DI ALTRI ATTRATTORI/AGGREGATORI ANCHE MINIMI (PIAZZETTE, CHIESE, FERMATE DEL",2015,ATTIVO,359707.60,B34E15000000001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"GLI INTERVENTI RIGUARDANO PRIORITARIAMENTE IL RIFACIMENTO E LA MESSA A NORMA DEGLI IMPIANTI (ELETTRICO, DI RISCALDAMENTO E DI ILLUMINAZIONE ESTERNA ED INTERNA), ANCHE AI FINI DELLABBATTIMENTO DEI C",2015,ATTIVO,336159.73,B34H15000020001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
EDIFICIO SCOLASTICO   LEONARDO SINISGALLI  DI VIA ANZIO   POTENZA VIA ANZIO LAVORI DI MANUTENZIONE STRAORDINARIA DELL' EDIFICIO SCOLASTICO  L. SINISGALLI  DI VIA ANZIO   POTENZA,2014,ATTIVO,187000.00,B31H13002190001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
RIQUALIFICAZIONE VICOLI CENTRO STORICO,2013,ATTIVO,4148795.63,B37H13000110001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
RIQUALIFICAZIONE VICOLI CENTRO STORICO,2013,ATTIVO,3541093.21,B37H13000110001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
CONSOLIDAMENTO,2013,ATTIVO,2300000.00,B33D13000000002,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
L'IMPIANTO MECCANIZZATO DI COLLEGAMENTO TRA IL CAMPUS UNIVERSITARIO DI MACCHIA ROMANA E VIA CAVOUR,2013,ATTIVO,708996.81,B31D12000090001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
L'IMPIANTO MECCANIZZATO DI COLLEGAMENTO TRA IL CAMPUS UNIVERSITARIO DI MACCHIA ROMANA E VIA CAVOUR,2013,ATTIVO,610398.90,B31D12000090001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
POTENZIAMENTO DELLA STRUMENTAZIONE TECNOLOGICA E DEI SUPPORTI INFORMATIVI PER PALAZZO D'ERRICO.,2013,ATTIVO,299137.24,B39G13000000001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
OPERE DI MESSA IN SICUREZZA DI TRA,2013,CHIUSO,165500.00,B33D12001470002,Comunale/Regionale,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
COSTRUZIONE LOCULI,2012,ATTIVO,553177.17,B33G12000100004,Comunale/Regionale,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
RISAGOMATURA DI TRATTI STRADALI EXTRAURBANI DI USO PUBBLICO,2012,CHIUSO,209916.89,B37H11003450004,Comunale/Regionale,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
COMPLETAMENTO DEI LOCALI ANNESSI ALLA PIAZZA SANTA CECILIA.,2012,ATTIVO,199787.00,B38C12000030005,Comunale/Regionale,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"REALIZZAZIONE DI OPERE DI REGIMAZIONE DELLE ACQUE METEORICHE (ZANELLE, TOMBINI ECC..)",2012,CHIUSO,109927.12,B37H12002200004,Comunale/Regionale,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
NUOVO CIMITERO A SERVIZIO DELLA CITTÀ DI POTENZA,2011,ATTIVO,19964835.13,B39D04000050005,Privato,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
RESTAURO E RIQUALIFICAZIONE DEL PALAZZO SITO IN LARGO D'ERRICO,2011,ATTIVO,2500000.00,B34H11000000005,Europeo,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
REALIZZAZIONE DI UN NUOVO PARCO URBANO,2011,ATTIVO,2000000.00,B39D11000250006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
A PIEDI IN CITTA' - FERMATE E PERCORSI SENZA BARRIERE,2011,ATTIVO,1321295.00,B31B11003700002,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
RECUPERO TRATTO PARCO FLUVIALE (BASENTO-MUSUMECI),2011,ATTIVO,1060485.61,B39D11000270006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
RIQUALIFICAZIONE URBANA PIAZZA ANTISTANTE LA STAZIONE CENTRALE DI POTENZA,2011,ATTIVO,868792.13,B39D11000240006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
RIQUALIFICAZIONE URBANA PIAZZA ANTISTANTE LA STAZIONE CENTRALE DI POTENZA,2011,ATTIVO,815000.00,B39D11000240006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
RECUPERO TRATTO PARCO FLUVIALE (BASENTO-MUSUMECI),2011,ATTIVO,792894.53,B39D11000270006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
ADEGUAMENTO DELLA CAPPELLA DEI CELESTINI E DELLA GALLERIA CIVICA PER LA REALIZZAZIONE DI UN MUSEO MULTIMEDIALE,2011,ATTIVO,600000.00,B39G11000080006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
ADEGUAMENTO DELLA CAPPELLA DEI CELESTINI E DELLA GALLERIA CIVICA PER LA REALIZZAZIONE DI UN MUSEO MULTIMEDIALE,2011,ATTIVO,397979.59,B39G11000080006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
INTERVENTO DI RIQUALIFICAZIONE E DI INNALZAMENTO DELLA QUALITÀ NELL'AMBITO DELL'AREA LIMITROFA AL PALAZZETTO DELLO SPORT,2011,ATTIVO,261949.15,B39B11000550006,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
"MANUTENZIONE STRAORDINARIA VIABILITA' RURALE, OPERE IN C.A., GABBIONATURE, OPERE DI PRESIDIO IDRAULICO,",2010,CHIUSO,356718.28,B37H10001050004,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
COMPLETAMENTO PARCO VIA TIRRENO,2010,ATTIVO,57328.97,B38J10000020004,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
COSTRUZIOEN DI UN'AREA DI INTERSCAMBIO MODALE,2009,ATTIVO,4040981.44,B31D07000170001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
REALIZZAZIONE DI UNA SCALA DI EMERGENZA,2009,ATTIVO,79500.00,B39H09000110004,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
RECUPERO DI UN EDIFICIO PER LA REALIZZAZIONE DEL MUSEO DEL RISORGIMENTO,2008,ATTIVO,498724.68,B32I08000090001,Europeo,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
NODO COMPLESSO DEL GALLITELLO,2007,ATTIVO,29884600.00,B31B05000260007,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
LAVORI DI SISTEMAZIONE VIABILITÀ RURALE,2007,ATTIVO,1251339.15,B37H06000950006,Comunale/Regionale,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
STAZIONE AUTOLINEE COMPLETAMENTO PIANI SEMINTERRATI E PERCORSI PEDONALI,2006,CHIUSO,3626175.26,B46E05000000001,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
SCUOLA ELEMENTARE DI VIA PERUGIA - COSTRUZIONE,2006,ATTIVO,2987365.22,B43I06000050004,Altro,,,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),
